District,State,Growth,Sex_Ratio,Literacy
Rudraprayag,Uttarakhand,0.07,1114,81.3
South Andaman,Andaman And Nicobar Islands,0.14,871,89.13
Bishnupur,Manipur,0.14,999,75.85
Kishtwar,Jammu and Kashmir,0.21,920,56.2
The Dangs,Gujarat,0.22,1006,75.16
Dima Hasao,Assam,0.14,932,77.54
Karaikal,Puducherry,0.17,1047,87.05
Tuensang,Nagaland,0.95,929,73.08
Mokokchung,Nagaland,0.61,925,91.62
Daman,Daman and Diu,0.68,534,88.07
Ukhrul,Manipur,0.31,943,81.35
Papumpare,Arunachal Pradesh,0.45,980,79.95
Wokha,Nagaland,0.99,968,87.69
Phek,Nagaland,1.12,951,78.05
Lunglei,Mizoram,0.18,947,88.86
Changlang,Arunachal Pradesh,0.18,926,59.8
South Sikkim,Sikkim,0.12,915,81.42
Lohit,Arunachal Pradesh,0.17,912,68.18
Chandel,Manipur,0.22,933,71.11
South Garo Hills,Meghalaya,0.41,945,71.72
New Delhi,Delhi,-0.21,822,88.34
Kargil,Jammu and Kashmir,0.18,810,71.34
Zunheboto,Nagaland,0.78,976,85.26
Tamenglong,Manipur,0.26,943,70.05
Narayanpur,Chhattisgarh,0.19,994,48.62
West Sikkim,Sikkim,0.11,942,77.39
Leh,Jammu and Kashmir,0.14,690,77.2
Champhai,Mizoram,0.16,984,95.91
Lawngtlai,Mizoram,0.60,945,65.88
West Siang,Arunachal Pradesh,0.08,930,66.46
Tirap,Arunachal Pradesh,0.12,944,52.19
North And Middle Andaman,Andaman And Nicobar Islands,0.00,925,83.91
East Siang,Arunachal Pradesh,0.14,980,72.54
Peren,Nagaland,1.04,915,77.95
Kurung Kumey,Arunachal Pradesh,1.17,1032,48.75
Mamit,Mizoram,0.38,927,84.93
Kinnaur,Himachal Pradesh,0.07,819,80
Kolasib,Mizoram,0.27,956,93.5
West Kameng,Arunachal Pradesh,0.13,819,67.07
Upper Subansiri,Arunachal Pradesh,0.51,998,63.8
Lower Subansiri,Arunachal Pradesh,0.49,984,74.35
East Kameng,Arunachal Pradesh,0.38,1029,60.02
Kiphire,Nagaland,0.39,956,69.54
Serchhip,Mizoram,0.21,977,97.91
Lakshadweep,Lakshadweep,0.06,946,91.85
Saiha,Mizoram,-0.07,979,90.01
Yanam,Puducherry,0.77,1038,79.47
Lower Dibang Valley,Arunachal Pradesh,0.07,928,69.13
Diu,Daman and Diu,0.18,1031,83.46
Longleng,Nagaland,-0.22,905,72.17
Tawang,Arunachal Pradesh,0.28,714,59
North Sikkim,Sikkim,0.07,767,78.01
Mahe,Puducherry,0.14,1184,97.87
Nicobars,Andaman And Nicobar Islands,-0.12,777,78.06
Upper Siang,Arunachal Pradesh,0.06,889,59.99
Lahul and Spiti,Himachal Pradesh,-0.05,903,76.81
Anjaw,Arunachal Pradesh,0.14,839,56.46
Dibang Valley,Arunachal Pradesh,0.10,813,64.1
